Co_30_1_TT_0;"	0.022";"	816";"	87";"	47";"	48"
Co_30_20_TT_0;"	0.088";"	1005";"	117";"	14";"	91"
Co_100_1_TT_0;"	0.229";"	4759";"	424";"	128";"	189"
Co_100_20_TT_0;"	2.298";"	2536";"	542";"	28";"	272"
;;;;;
Co_30_1_TL_0;"	0.019";"	1524";"	185";"	104";"	71"
Co_30_20_TL_0;"	0.175";"	1736";"	486";"	90";"	0"
Co_100_1_TL_0;"	0.247";"	9314";"	772";"	446";"	172"
Co_100_20_TL_0;"	1.995";"	4180";"	1830";"	206";"	0"
;;;;;
Co_30_1_ST_0;"	0.647";"	23427";"	56";"	63";"	64"
Co_30_20_ST_0;"	2.409";"	18137";"	56";"	63";"	64"
Co_100_1_ST_0;"	3777.67";"	39957";"	218";"	215";"	209"